client_id,nom,email,ville,region,segment,date_inscription,ca_historique,actif
CLI0090,Client_90,client90@email.fr,Toulouse,Auvergne-RA,Startup,2022-07-10,13017.33,True
CLI0091,Client_91,client91@email.fr,Nice,Auvergne-RA,PME,2023-10-18,2127.05,False
CLI0092,Client_92,client92@email.fr,Strasbourg,PACA,Startup,2020-02-24,18240.29,True
CLI0093,Client_93,client93@email.fr,Nantes,Occitanie,Particulier,2022-01-20,7415.67,True
CLI0094,Client_94,client94@email.fr,Lyon,Île-de-France,Particulier,2020-03-13,305.28,True
CLI0095,Client_95,client95@email.fr,Paris,Île-de-France,Particulier,2020-02-11,901.96,True
CLI0096,Client_96,client96@email.fr,Marseille,Auvergne-RA,PME,2022-12-03,2660.7,True
CLI0097,Client_97,client97@email.fr,Paris,Auvergne-RA,Particulier,2020-01-12,14718.39,False
CLI0098,Client_98,client98@email.fr,Paris,Occitanie,Particulier,2021-12-10,3566.74,False
CLI0099,Client_99,client99@email.fr,Lille,Nouvelle-Aquitaine,PME,2021-05-03,5678.41,True
CLI0100,Client_100,client100@email.fr,Nantes,Auvergne-RA,PME,2020-11-30,4070.54,True
CLI0101,Client_101,client101@email.fr,Marseille,Auvergne-RA,Particulier,2021-08-16,22809.9,True
CLI0102,Client_102,client102@email.fr,Montpellier,PACA,Particulier,2023-01-26,50.97,True
CLI0103,Client_103,client103@email.fr,Montpellier,Auvergne-RA,Particulier,2020-12-29,22043.86,False
CLI0104,Client_104,client104@email.fr,Lille,Occitanie,Particulier,2020-01-16,4801.69,True
CLI0105,Client_105,client105@email.fr,Lyon,PACA,Particulier,2021-02-17,7795.92,True
CLI0106,Client_106,client106@email.fr,Bordeaux,Occitanie,Particulier,2021-04-21,2303.37,True
CLI0107,Client_107,client107@email.fr,Lille,Nouvelle-Aquitaine,Startup,2020-09-22,1999.24,False
CLI0108,Client_108,client108@email.fr,Paris,PACA,Particulier,2021-01-10,1100.15,True
CLI0109,Client_109,client109@email.fr,Lyon,Occitanie,Grand Compte,2021-12-05,2063.99,False
CLI0110,Client_110,client110@email.fr,Nice,Occitanie,Particulier,2022-07-27,792.56,False
CLI0111,Client_111,client111@email.fr,Montpellier,PACA,Startup,2020-08-13,17165.46,True
CLI0112,Client_112,client112@email.fr,Lyon,Île-de-France,PME,2022-01-22,33916.7,True
CLI0113,Client_113,client113@email.fr,Nantes,Occitanie,Grand Compte,2022-12-06,3445.48,False
CLI0114,Client_114,client114@email.fr,Nice,PACA,Particulier,2020-03-02,314.27,True
CLI0115,Client_115,client115@email.fr,Marseille,Occitanie,PME,2023-01-17,30371.43,True
CLI0116,Client_116,client116@email.fr,Montpellier,PACA,PME,2023-05-03,44082.43,True
CLI0117,Client_117,client117@email.fr,Nice,Île-de-France,PME,2023-07-08,765.82,False
CLI0118,Client_118,client118@email.fr,Montpellier,PACA,Particulier,2022-07-02,12865.12,True
CLI0119,Client_119,client119@email.fr,Toulouse,Occitanie,Particulier,2022-11-29,3180.86,True
CLI0120,Client_120,client120@email.fr,Montpellier,Auvergne-RA,Particulier,2023-08-05,13984.57,True
CLI0121,Client_121,client121@email.fr,Montpellier,Nouvelle-Aquitaine,Particulier,2022-03-26,10205.92,True
CLI0122,Client_122,client122@email.fr,Bordeaux,PACA,Particulier,2020-01-07,6379.92,True
CLI0123,Client_123,client123@email.fr,Nice,Île-de-France,Grand Compte,2021-06-18,4206.73,True
CLI0124,Client_124,client124@email.fr,Strasbourg,Auvergne-RA,PME,2022-12-05,2371.54,True
CLI0125,Client_125,client125@email.fr,Paris,Auvergne-RA,Particulier,2022-05-05,2139.24,True
CLI0126,Client_126,client126@email.fr,Nice,Île-de-France,Startup,2023-12-06,3962.31,False
CLI0127,Client_127,client127@email.fr,Toulouse,Occitanie,Particulier,2022-07-04,1525.92,True
CLI0128,Client_128,client128@email.fr,Nantes,Île-de-France,Particulier,2021-12-05,3988.36,True
CLI0129,Client_129,client129@email.fr,Lyon,Auvergne-RA,Startup,2021-11-17,5170.13,True
CLI0130,Client_130,client130@email.fr,Paris,PACA,PME,2023-12-24,1354.64,True
CLI0131,Client_131,client131@email.fr,Paris,PACA,Particulier,2020-02-08,20910.14,True
CLI0132,Client_132,client132@email.fr,Lyon,Nouvelle-Aquitaine,Particulier,2022-04-28,3503.51,True
CLI0133,Client_133,client133@email.fr,Toulouse,Occitanie,Particulier,2023-11-11,558.43,True
CLI0134,Client_134,client134@email.fr,Marseille,Île-de-France,Particulier,2023-07-18,514.39,False
CLI0135,Client_135,client135@email.fr,Montpellier,Nouvelle-Aquitaine,PME,2023-08-25,2349.64,True
CLI0136,Client_136,client136@email.fr,Marseille,Occitanie,PME,2021-11-23,502.72,False
CLI0137,Client_137,client137@email.fr,Marseille,Nouvelle-Aquitaine,Particulier,2023-03-22,351.01,True
CLI0138,Client_138,client138@email.fr,Lille,Nouvelle-Aquitaine,Grand Compte,2022-10-10,7400.09,True
CLI0139,Client_139,client139@email.fr,Montpellier,PACA,Startup,2021-12-21,1512.53,True
CLI0140,Client_140,client140@email.fr,Lille,Île-de-France,Startup,2023-12-19,78.59,False
CLI0141,Client_141,client141@email.fr,Marseille,Île-de-France,PME,2022-06-07,1835.3,True
CLI0142,Client_142,client142@email.fr,Bordeaux,Île-de-France,Particulier,2020-08-29,3201.6,False
CLI0143,Client_143,client143@email.fr,Paris,Île-de-France,Particulier,2021-08-11,2278.98,True
CLI0144,Client_144,client144@email.fr,Nice,Auvergne-RA,Particulier,2022-09-20,994.44,True
CLI0145,Client_145,client145@email.fr,Paris,PACA,PME,2021-09-26,3259.88,True
CLI0146,Client_146,client146@email.fr,Montpellier,Auvergne-RA,Particulier,2023-01-12,1129.57,True
CLI0147,Client_147,client147@email.fr,Strasbourg,PACA,Particulier,2022-06-18,22634.21,True
CLI0148,Client_148,client148@email.fr,Lille,Nouvelle-Aquitaine,Particulier,2022-08-28,5980.16,True
CLI0149,Client_149,client149@email.fr,Strasbourg,Nouvelle-Aquitaine,PME,2023-08-17,288.19,True
CLI0150,Client_150,client150@email.fr,Montpellier,Occitanie,Particulier,2021-11-25,14494.8,False
CLI0151,Client_151,client151@email.fr,Lyon,Auvergne-RA,Particulier,2021-07-02,549.09,True
CLI0152,Client_152,client152@email.fr,Nantes,Île-de-France,Particulier,2022-05-11,6949.44,True
CLI0153,Client_153,client153@email.fr,Montpellier,Nouvelle-Aquitaine,Particulier,2022-01-01,286.37,True
CLI0154,Client_154,client154@email.fr,Bordeaux,Auvergne-RA,Particulier,2022-07-20,60030.36,True
CLI0155,Client_155,client155@email.fr,Marseille,PACA,PME,2021-09-28,6629.53,False
CLI0156,Client_156,client156@email.fr,Paris,PACA,Particulier,2020-04-09,454.54,False
CLI0157,Client_157,client157@email.fr,Nice,Nouvelle-Aquitaine,PME,2020-01-02,4844.99,True
CLI0158,Client_158,client158@email.fr,Nantes,Nouvelle-Aquitaine,Particulier,2020-01-14,1925.16,False
CLI0159,Client_159,client159@email.fr,Bordeaux,Auvergne-RA,Grand Compte,2023-03-14,5226.1,True
CLI0160,Client_160,client160@email.fr,Toulouse,Île-de-France,Particulier,2020-10-27,2616.87,True
CLI0161,Client_161,client161@email.fr,Nice,PACA,Particulier,2021-08-14,128.67,True
CLI0162,Client_162,client162@email.fr,Toulouse,Nouvelle-Aquitaine,Particulier,2022-08-29,4364.51,True
CLI0163,Client_163,client163@email.fr,Nantes,Nouvelle-Aquitaine,PME,2023-02-04,10621.32,True
CLI0164,Client_164,client164@email.fr,Montpellier,Nouvelle-Aquitaine,Particulier,2023-10-22,18652.8,True
CLI0165,Client_165,client165@email.fr,Bordeaux,Auvergne-RA,Startup,2022-08-26,8879.0,True
CLI0166,Client_166,client166@email.fr,Marseille,Occitanie,Startup,2022-04-16,3222.52,True
CLI0167,Client_167,client167@email.fr,Nice,Nouvelle-Aquitaine,Startup,2023-05-24,293.92,True
CLI0168,Client_168,client168@email.fr,Nantes,Nouvelle-Aquitaine,PME,2020-11-03,6343.23,False
CLI0169,Client_169,client169@email.fr,Strasbourg,Auvergne-RA,PME,2022-10-11,1169.52,True
CLI0170,Client_170,client170@email.fr,Lyon,Île-de-France,Particulier,2023-05-26,52630.29,True
CLI0171,Client_171,client171@email.fr,Lyon,Auvergne-RA,Particulier,2020-10-29,1520.23,False
CLI0172,Client_172,client172@email.fr,Bordeaux,Île-de-France,Particulier,2023-08-03,3298.58,False
CLI0173,Client_173,client173@email.fr,Toulouse,Île-de-France,PME,2023-05-28,4982.27,True
CLI0174,Client_174,client174@email.fr,Lille,Île-de-France,Particulier,2021-08-07,562.6,True
CLI0175,Client_175,client175@email.fr,Lille,PACA,Particulier,2023-11-05,11524.29,True
CLI0176,Client_176,client176@email.fr,Marseille,Occitanie,Particulier,2023-09-29,2420.44,True
CLI0177,Client_177,client177@email.fr,Lille,Occitanie,PME,2023-01-04,17281.14,True
CLI0178,Client_178,client178@email.fr,Lille,Île-de-France,PME,2020-10-17,62475.88,False
CLI0179,Client_179,,Marseille,Auvergne-RA,Particulier,2022-10-23,7582.48,True
CLI0180,Client_180,client180@email.fr,Toulouse,Occitanie,PME,2020-01-12,3253.88,True
CLI0181,Client_181,client181@email.fr,Toulouse,Nouvelle-Aquitaine,Particulier,2020-02-12,8266.44,True
CLI0182,Client_182,client182@email.fr,Toulouse,PACA,Grand Compte,2023-02-14,7067.08,False
CLI0183,Client_183,client183@email.fr,Bordeaux,PACA,PME,2020-11-19,2245.44,True
CLI0184,Client_184,client184@email.fr,Bordeaux,Occitanie,PME,2022-01-20,6833.62,False
CLI0185,Client_185,client185@email.fr,Nice,Nouvelle-Aquitaine,Particulier,2020-01-02,1205.94,True
CLI0186,Client_186,client186@email.fr,Strasbourg,Nouvelle-Aquitaine,PME,2022-06-27,275.83,True
CLI0187,Client_187,client187@email.fr,Montpellier,Île-de-France,Particulier,2020-10-24,2402.42,True
CLI0188,Client_188,client188@email.fr,Paris,Nouvelle-Aquitaine,Grand Compte,2023-10-17,9841.01,True
CLI0189,Client_189,client189@email.fr,Strasbourg,Occitanie,Particulier,2022-11-15,6307.25,True
CLI0190,Client_190,client190@email.fr,Nice,Île-de-France,PME,2023-08-09,426.42,False
CLI0191,Client_191,client191@email.fr,Marseille,Nouvelle-Aquitaine,Particulier,2023-05-10,7186.92,True
CLI0192,Client_192,client192@email.fr,Lyon,Occitanie,PME,2021-04-27,8279.26,False
CLI0193,Client_193,client193@email.fr,Strasbourg,Occitanie,Grand Compte,2023-12-26,604.8,True
CLI0194,Client_194,client194@email.fr,Nice,Île-de-France,PME,2021-05-23,982.33,True
CLI0195,Client_195,client195@email.fr,Lyon,PACA,Particulier,2023-10-29,38670.01,True
CLI0196,Client_196,client196@email.fr,Marseille,Nouvelle-Aquitaine,Particulier,2021-07-07,1605.54,False
CLI0197,Client_197,client197@email.fr,Bordeaux,Occitanie,Particulier,2020-03-13,571.82,True
CLI0198,Client_198,client198@email.fr,Paris,Nouvelle-Aquitaine,Grand Compte,2021-05-31,1025.62,False
CLI0199,Client_199,client199@email.fr,Toulouse,Auvergne-RA,Particulier,2021-01-15,389.21,True
CLI0200,Client_200,client200@email.fr,Lyon,Île-de-France,Startup,2020-04-25,2244.81,False
CLI0201,Client_201,client201@email.fr,Nice,Nouvelle-Aquitaine,Startup,2020-10-13,1081.41,True
CLI0202,Client_202,client202@email.fr,Lille,Nouvelle-Aquitaine,PME,2022-09-06,6530.03,True
CLI0203,Client_203,client203@email.fr,Strasbourg,Nouvelle-Aquitaine,Startup,2021-09-21,18391.55,True
CLI0204,Client_204,client204@email.fr,Nantes,Auvergne-RA,Particulier,2022-03-10,3687.03,True
CLI0205,Client_205,client205@email.fr,Nantes,Nouvelle-Aquitaine,Particulier,2021-04-25,1071.64,True
CLI0206,Client_206,client206@email.fr,Lille,Île-de-France,Particulier,2022-04-14,511.97,False
CLI0207,Client_207,client207@email.fr,Nice,Nouvelle-Aquitaine,Particulier,2020-09-18,2953.94,True
CLI0208,Client_208,client208@email.fr,Bordeaux,Auvergne-RA,Particulier,2021-07-14,10485.37,True
CLI0209,Client_209,client209@email.fr,Marseille,Auvergne-RA,Particulier,2020-05-13,1733.54,True
CLI0210,Client_210,client210@email.fr,Toulouse,PACA,PME,2020-05-09,1517.54,True
CLI0211,Client_211,client211@email.fr,Bordeaux,Auvergne-RA,Particulier,2022-03-03,155.44,True
CLI0212,Client_212,client212@email.fr,Nantes,Occitanie,PME,2021-04-27,2148.71,True
CLI0213,Client_213,client213@email.fr,Toulouse,Auvergne-RA,Grand Compte,2022-09-20,278.14,True
CLI0214,Client_214,client214@email.fr,Bordeaux,Auvergne-RA,PME,2021-03-22,3146.88,True
CLI0215,Client_215,,Lyon,Nouvelle-Aquitaine,PME,2020-10-13,1061.03,True
CLI0216,Client_216,client216@email.fr,Montpellier,Île-de-France,Particulier,2023-01-27,2713.55,True
CLI0217,Client_217,client217@email.fr,Marseille,Nouvelle-Aquitaine,Particulier,2022-02-23,993.14,True
CLI0218,Client_218,client218@email.fr,Nantes,Auvergne-RA,PME,2022-02-06,1040.54,True
CLI0219,Client_219,client219@email.fr,Nantes,Occitanie,PME,2021-05-24,1273.1,True
CLI0220,Client_220,,Toulouse,Auvergne-RA,Particulier,2023-12-17,1662.16,True
CLI0221,Client_221,client221@email.fr,Toulouse,Auvergne-RA,PME,2023-05-21,2481.16,True
CLI0222,Client_222,client222@email.fr,Toulouse,Nouvelle-Aquitaine,PME,2021-09-20,1551.95,True
CLI0223,Client_223,client223@email.fr,Lyon,Nouvelle-Aquitaine,PME,2021-08-16,94.25,False
CLI0224,Client_224,client224@email.fr,Nice,Occitanie,Startup,2021-09-16,1529.32,True
CLI0225,Client_225,client225@email.fr,Montpellier,Île-de-France,Startup,2023-02-27,270.78,True
CLI0226,Client_226,client226@email.fr,Montpellier,Occitanie,Particulier,2022-01-28,1619.57,True
CLI0227,Client_227,client227@email.fr,Nantes,Île-de-France,Particulier,2022-08-13,13579.18,True
CLI0228,Client_228,client228@email.fr,Paris,Occitanie,Grand Compte,2023-05-08,2450.94,True
CLI0229,Client_229,client229@email.fr,Paris,Occitanie,Particulier,2021-10-25,3026.12,False
CLI0230,Client_230,client230@email.fr,Bordeaux,PACA,Startup,2023-05-19,1320.94,True
CLI0231,Client_231,client231@email.fr,Marseille,PACA,Particulier,2022-02-11,17651.15,False
CLI0232,Client_232,client232@email.fr,Paris,Île-de-France,Startup,2021-04-07,8764.2,True
CLI0233,Client_233,,Bordeaux,Nouvelle-Aquitaine,Particulier,2020-06-17,2861.96,True
CLI0234,Client_234,client234@email.fr,Toulouse,Nouvelle-Aquitaine,PME,2022-02-08,7054.79,True
CLI0235,Client_235,client235@email.fr,Lyon,PACA,Grand Compte,2020-09-29,621.9,False
CLI0236,Client_236,client236@email.fr,Lyon,Nouvelle-Aquitaine,PME,2023-04-10,156.1,False
CLI0237,Client_237,client237@email.fr,Paris,Occitanie,PME,2023-05-30,2319.99,True
CLI0238,Client_238,client238@email.fr,Montpellier,Nouvelle-Aquitaine,Grand Compte,2020-09-12,4554.49,True
CLI0239,Client_239,client239@email.fr,Lille,Nouvelle-Aquitaine,Grand Compte,2022-02-08,5429.12,True
CLI0240,Client_240,client240@email.fr,Marseille,Nouvelle-Aquitaine,Particulier,2021-02-24,1122.11,True
CLI0241,Client_241,client241@email.fr,Marseille,PACA,PME,2022-11-19,4880.38,False
CLI0242,Client_242,client242@email.fr,Montpellier,Auvergne-RA,Particulier,2020-05-08,11502.77,False
CLI0243,Client_243,client243@email.fr,Paris,Nouvelle-Aquitaine,Grand Compte,2023-06-01,4955.72,True
CLI0244,Client_244,client244@email.fr,Strasbourg,PACA,PME,2022-07-25,10150.8,False
CLI0245,Client_245,client245@email.fr,Bordeaux,Nouvelle-Aquitaine,Grand Compte,2021-08-24,4763.5,True
CLI0246,Client_246,client246@email.fr,Lyon,Occitanie,PME,2021-08-09,4812.63,False
CLI0247,Client_247,client247@email.fr,Strasbourg,PACA,Startup,2020-05-11,31119.92,True
CLI0248,Client_248,client248@email.fr,Marseille,Auvergne-RA,PME,2022-04-01,456.98,False
CLI0249,Client_249,client249@email.fr,Nice,Nouvelle-Aquitaine,PME,2022-07-29,3911.49,False
CLI0250,Client_250,client250@email.fr,Marseille,Occitanie,Particulier,2022-12-14,850.95,False
CLI0251,Client_251,client251@email.fr,Montpellier,Auvergne-RA,Particulier,2020-06-07,672.83,False
CLI0252,Client_252,client252@email.fr,Nice,Occitanie,Particulier,2020-01-19,5317.86,False
CLI0253,Client_253,client253@email.fr,Strasbourg,Île-de-France,Particulier,2023-03-15,1243.95,False
CLI0254,Client_254,client254@email.fr,Lille,Nouvelle-Aquitaine,PME,2020-06-09,2305.67,True
CLI0255,Client_255,client255@email.fr,Bordeaux,PACA,Particulier,2020-03-18,10669.46,True
CLI0256,Client_256,client256@email.fr,Lille,Nouvelle-Aquitaine,PME,2020-02-19,11087.5,True
CLI0257,Client_257,,Paris,Occitanie,Particulier,2021-07-16,14036.91,True
CLI0258,Client_258,client258@email.fr,Bordeaux,Île-de-France,Particulier,2021-12-04,2225.16,True
CLI0259,Client_259,client259@email.fr,Nice,Nouvelle-Aquitaine,Grand Compte,2023-08-11,40.17,True
CLI0260,Client_260,,Lille,Nouvelle-Aquitaine,PME,2022-09-11,2341.72,False
CLI0261,Client_261,,Montpellier,Nouvelle-Aquitaine,Grand Compte,2023-09-27,798.73,False
CLI0262,Client_262,client262@email.fr,Nice,Auvergne-RA,Particulier,2021-08-04,862.37,False
CLI0263,Client_263,client263@email.fr,Bordeaux,PACA,Grand Compte,2020-09-06,160.48,True
CLI0264,Client_264,client264@email.fr,Strasbourg,Auvergne-RA,Particulier,2023-05-11,9658.35,False
CLI0265,Client_265,client265@email.fr,Strasbourg,Occitanie,Grand Compte,2021-05-06,6725.73,True
CLI0266,Client_266,client266@email.fr,Lyon,Occitanie,Particulier,2022-09-10,19565.74,True
CLI0267,Client_267,client267@email.fr,Lille,Occitanie,Particulier,2021-03-20,990.4,True
CLI0268,Client_268,client268@email.fr,Paris,Île-de-France,Startup,2021-07-26,884.15,True
CLI0269,Client_269,client269@email.fr,Lille,Île-de-France,Particulier,2022-08-23,6815.67,True
CLI0270,Client_270,client270@email.fr,Lyon,Île-de-France,Particulier,2020-04-07,1551.84,False
CLI0271,Client_271,client271@email.fr,Strasbourg,Nouvelle-Aquitaine,Grand Compte,2023-08-10,2265.74,False
CLI0272,Client_272,client272@email.fr,Paris,Occitanie,PME,2021-01-17,23442.7,False
CLI0273,Client_273,client273@email.fr,Nantes,Occitanie,Particulier,2021-09-19,1735.91,True
CLI0274,Client_274,client274@email.fr,Nice,Île-de-France,Grand Compte,2023-07-01,6419.68,True
CLI0275,Client_275,client275@email.fr,Paris,Auvergne-RA,Particulier,2022-02-12,893.33,True
